ph	Hardness	Solids	Chloramines	Sulfate	Conductivity	Organic_carbon	Trihalomethanes	Turbidity	Potability
	204.89045547133634	20791.318980747023	7.300211873184757	368.5164413498034	564.3086541722439	10.3797830780847	86.9909704615088	2.9631353806316407	0
3.7160800753869903	129.42292051494422	18630.05785797035	6.635245883862		592.8853591348523	15.18001311635726	56.32907628451764	4.500656274942409	0
8.099124189298397	224.23625939355773	19909.541732292397	9.275883602694089		418.6062130644815	16.868636929550973	66.42009251176368	3.0559337496641685	0
8.316765884214679	214.3733940856225	22018.417440775294	8.05933237743854	356.88613564305666	363.2665161642437	18.436524495493305	100.34167436508007	4.6287705368370835	0
9.092223456290963	181.10150923612525	17978.98633892625	6.5465999742079415	310.13573752420444	398.4108133818448	11.558279443446395	31.997992727424737	4.075075425430033	0
5.584086638456088	188.3133237696164	28748.68773904612	7.544868788779651	326.6783629116736	280.4679159334877	8.399734640152758	54.917861841994466	2.5597082275565217	0
10.223862164528773	248.07173527013992	28749.716543528237	7.5134084658313025	393.6633955150965	283.6516335078445	13.789695317519884	84.60355617402357	2.672988736934779	0
8.635848718500734	203.36152258457054	13672.091763901635	4.563008685599703	303.3097711592812	474.6076449424485	12.363816698705248	62.798308962925155	4.401424715445482	0
	118.98857909025189	14285.583854224516	7.804173553073094	268.646940746221	389.37556587126136	12.70604896865791	53.92884576751224	3.5950171809576155	0
11.180284470721594	227.23146923797455	25484.50849098786	9.077200016914393	404.04163468408996	563.8854814810949	17.92780641128502	71.97660103221915	4.370561936655497	0
7.360640105838258	165.52079725952862	32452.61440914388	7.5507009067041135	326.62435345560164	425.3834194953873	15.586810438033126	78.7400156643048	3.662291782852457	0
7.9745216489238695	218.6933004886664	18767.65668181348	8.110384501123875		364.0982304620487	14.525745697593207	76.48591117965157	4.011718108339787	0
7.119824384264553	156.70499334039215	18730.813653342713	3.60603609050572	282.34405047396064	347.71502726194376	15.9295359088257	79.5007783369744	3.445756223321899	0
	150.17492339513618	27331.36196192776	6.838223470687509	299.41578134685847	379.7618348257725	19.370807181232127	76.5099955279583	4.413974182974902	0
7.496232207973359	205.34498215818516	28388.004886736966	5.0725577738406304		444.6453523327066	13.228311099224527	70.30021264692436	4.7773823372253785	0
6.347271760539316	186.73288066057614	41065.23476453935	9.629596276480584	364.4876872467604	516.743281893657	11.53978119153942	75.07161728663776	4.376348290691898	0
7.0517858000168445	211.04940606054578	30980.600786788862	10.094796011661426		315.1412672443021	20.39702184072246	56.65160378979331	4.268428857506186	0
